. Semoga kedepan.ny semakin berkembang	5	positif	id	semoga kedepanny semakin berkembang	['semoga', 'kedepanny', 'semakin', 'berkembang']	['semoga', 'kedepannya', 'semakin', 'berkembang']	['semoga', 'kedepannya', 'berkembang']	['moga', 'depan', 'kembang']
... aplikasi yg simpel, semoga semakin baik	4	positif	id	aplikasi yg simpel semoga semakin baik	['aplikasi', 'yg', 'simpel', 'semoga', 'semakin', 'baik']	['aplikasi', 'yang', 'simpel', 'semoga', 'semakin', 'baik']	['aplikasi', 'simpel', 'semoga']	['aplikasi', 'simpel', 'moga']
1. Lambat 2. Login berulang 3. Tata letak tombol, kolom, bagan isian interface berantakan 4. Kurang teratur, strukturnya tidak fokus, tidak user friendly 5. Klaim tidak jelas 6. Tutorial klaim tidak berguna, terlalu kecil tidak terbaca 7. Tidak fungsional 8. Estetika tidak pada tempatnya 9. Popup tidak penting 10. Harus fokuskan fungsi aplikasi 11. Memperlambat alur pengisian BBM 12. Harus segera diminimalkan fungsi aplikasi sesuai tujuan utamanya saja.	1	negatif	id	lambat login berulang tata letak tombol kolom bagan isian interface berantakan kurang teratur strukturnya tidak fokus tidak user friendly klaim tidak jelas tutorial klaim tidak berguna terlalu kecil tidak terbaca tidak fungsional estetika tidak pada tempatnya popup tidak penting harus fokuskan fungsi aplikasi memperlambat alur pengisian bbm harus segera diminimalkan fungsi aplikasi sesuai tujuan utamanya saja	['lambat', 'login', 'berulang', 'tata', 'letak', 'tombol', 'kolom', 'bagan', 'isian', 'interface', 'berantakan', 'kurang', 'teratur', 'strukturnya', 'tidak', 'fokus', 'tidak', 'user', 'friendly', 'klaim', 'tidak', 'jelas', 'tutorial', 'klaim', 'tidak', 'berguna', 'terlalu', 'kecil', 'tidak', 'terbaca', 'tidak', 'fungsional', 'estetika', 'tidak', 'pada', 'tempatnya', 'popup', 'tidak', 'penting', 'harus', 'fokuskan', 'fungsi', 'aplikasi', 'memperlambat', 'alur', 'pengisian', 'bbm', 'harus', 'segera', 'diminimalkan', 'fungsi', 'aplikasi', 'sesuai', 'tujuan', 'utamanya', 'saja']	['lambat', 'login', 'berulang', 'tata', 'letak', 'tombol', 'kolom', 'bagan', 'isian', 'antarmuka', 'berantakan', 'kurang', 'teratur', 'strukturnya', 'tidak', 'fokus', 'tidak', 'pengguna', 'friendly', 'klaim', 'tidak', 'jelas', 'tutorial', 'klaim', 'tidak', 'berguna', 'terlalu', 'kecil', 'tidak', 'terbaca', 'tidak', 'fungsional', 'estetika', 'tidak', 'pada', 'tempatnya', 'sembulan', 'tidak', 'penting', 'harus', 'fokuskan', 'fungsi', 'aplikasi', 'memperlambat', 'alur', 'pengisian', 'bbm', 'harus', 'segera', 'diminimalkan', 'fungsi', 'aplikasi', 'sesuai', 'tujuan', 'utamanya', 'saja']	['lambat', 'login', 'berulang', 'tata', 'letak', 'tombol', 'kolom', 'bagan', 'isian', 'antarmuka', 'berantakan', 'teratur', 'strukturnya', 'fokus', 'pengguna', 'friendly', 'klaim', 'tutorial', 'klaim', 'berguna', 'terbaca', 'fungsional', 'estetika', 'tempatnya', 'sembulan', 'fokuskan', 'fungsi', 'aplikasi', 'memperlambat', 'alur', 'pengisian', 'bbm', 'diminimalkan', 'fungsi', 'aplikasi', 'sesuai', 'tujuan', 'utamanya']	['lambat', 'login', 'ulang', 'tata', 'letak', 'tombol', 'kolom', 'bagan', 'isi', 'antarmuka', 'beranta', 'atur', 'struktur', 'fokus', 'guna', 'friendly', 'klaim', 'tutorial', 'klaim', 'guna', 'baca', 'fungsional', 'estetika', 'tempat', 'sembul', 'fokus', 'fungsi', 'aplikasi', 'lambat', 'alur', 'isi', 'bbm', 'minimal', 'fungsi', 'aplikasi', 'sesuai', 'tuju', 'utama']
2kali gagal menggunakan my pertamina untuk membayar pembelian pertamax dan saya merasa dirugikan akhir bayar dengan kartu debit.....	2	negatif	id	kali gagal menggunakan my pertamina untuk membayar pembelian pertamax dan saya merasa dirugikan akhir bayar dengan kartu debit	['kali', 'gagal', 'menggunakan', 'my', 'pertamina', 'untuk', 'membayar', 'pembelian', 'pertamax', 'dan', 'saya', 'merasa', 'dirugikan', 'akhir', 'bayar', 'dengan', 'kartu', 'debit']	['kali', 'gagal', 'menggunakan', 'my', 'pertamina', 'untuk', 'membayar', 'pembelian', 'pertamax', 'dan', 'saya', 'merasa', 'dirugikan', 'akhir', 'bayar', 'dengan', 'kartu', 'debit']	['kali', 'gagal', 'my', 'pertamina', 'membayar', 'pembelian', 'pertamax', 'dirugikan', 'bayar', 'kartu', 'debit']	['kali', 'gagal', 'my', 'pertamina', 'bayar', 'beli', 'pertamax', 'rugi', 'bayar', 'kartu', 'debit']
4 bintang aja dulu kalau lancar baru diberi 5 bintang	4	positif	id	bintang aja dulu kalau lancar baru diberi bintang	['bintang', 'aja', 'dulu', 'kalau', 'lancar', 'baru', 'diberi', 'bintang']	['bintang', 'saja', 'dulu', 'kalau', 'lancar', 'baru', 'diberi', 'bintang']	['bintang', 'lancar', 'bintang']	['bintang', 'lancar', 'bintang']
4 bintang dl nti kl bermanfaat sy tambagin rating nya...	4	positif	id	bintang dl nti kl bermanfaat sy tambagin rating nya	['bintang', 'dl', 'nti', 'kl', 'bermanfaat', 'sy', 'tambagin', 'rating', 'nya']	['bintang', 'dulu', 'nanti', 'kalau', 'bermanfaat', 'saya', 'tambagin', 'rating', 'nya']	['bintang', 'bermanfaat', 'tambagin', 'rating']	['bintang', 'manfaat', 'tambagin', 'rating']
4 bintang dulu	4	positif	id	bintang dulu	['bintang', 'dulu']	['bintang', 'dulu']	['bintang']	['bintang']
4 bintang dulu karna gak semua spbu menerima pembayaran my pertamina ada yg bilang ribet	4	positif	id	bintang dulu karna gak semua spbu menerima pembayaran my pertamina ada yg bilang ribet	['bintang', 'dulu', 'karna', 'gak', 'semua', 'spbu', 'menerima', 'pembayaran', 'my', 'pertamina', 'ada', 'yg', 'bilang', 'ribet']	['bintang', 'dulu', 'karena', 'enggak', 'semua', 'spbu', 'menerima', 'pembayaran', 'my', 'pertamina', 'ada', 'yang', 'bilang', 'ribet']	['bintang', 'spbu', 'menerima', 'pembayaran', 'my', 'pertamina', 'ribet']	['bintang', 'spbu', 'terima', 'bayar', 'my', 'pertamina', 'ribet']
Ada ada aja, ribetlah, kan kita mo beli, bukan minta	2	negatif	id	ada ada aja ribetlah kan kita mo beli bukan minta	['ada', 'ada', 'aja', 'ribetlah', 'kan', 'kita', 'mo', 'beli', 'bukan', 'minta']	['ada', 'ada', 'saja', 'ribetlah', 'kan', 'kita', 'mau', 'beli', 'bukan', 'meminta']	['ribetlah', 'beli']	['ribetlah', 'beli']
Adain event2 menarik biar para user betah makai	5	positif	id	adain event menarik biar para user betah makai	['adain', 'event', 'menarik', 'biar', 'para', 'user', 'betah', 'makai']	['mengadakan', 'event', 'menarik', 'biar', 'para', 'pengguna', 'betah', 'makai']	['mengadakan', 'event', 'menarik', 'pengguna', 'betah', 'makai']	['ada', 'event', 'tarik', 'guna', 'betah', 'maka']
Adain paylater nyh dong	4	positif	id	adain paylater nyh dong	['adain', 'paylater', 'nyh', 'dong']	['mengadakan', 'paylater', 'nya', 'dong']	['mengadakan', 'paylater']	['ada', 'paylater']
