. Semoga kedepan.ny semakin berkembang	5	positif
... aplikasi yg simpel, semoga semakin baik	4	positif
1. Lambat 2. Login berulang 3. Tata letak tombol, kolom, bagan isian interface berantakan 4. Kurang teratur, strukturnya tidak fokus, tidak user friendly 5. Klaim tidak jelas 6. Tutorial klaim tidak berguna, terlalu kecil tidak terbaca 7. Tidak fungsional 8. Estetika tidak pada tempatnya 9. Popup tidak penting 10. Harus fokuskan fungsi aplikasi 11. Memperlambat alur pengisian BBM 12. Harus segera diminimalkan fungsi aplikasi sesuai tujuan utamanya saja.	1	negatif
100% Merepotkan	1	negatif
2kali gagal menggunakan my pertamina untuk membayar pembelian pertamax dan saya merasa dirugikan akhir bayar dengan kartu debit.....	2	negatif
4 bintang aja dulu kalau lancar baru diberi 5 bintang	4	positif
4 bintang dl nti kl bermanfaat sy tambagin rating nya...	4	positif
4 bintang dulu	4	positif
4 bintang dulu karna gak semua spbu menerima pembayaran my pertamina ada yg bilang ribet	4	positif
4 dulu	4	positif
Ada ada aja, ribetlah, kan kita mo beli, bukan minta	2	negatif
Ada biaya admin	1	negatif
Adain event2 menarik biar para user betah makai	5	positif
Adain paylater nyh dong	4	positif
Adakan sosialisasi dan pembinaan dulu ke masyarakat sebelum peraturan diberlakukan...	5	positif
Adanya apk ini memudah kan membeli bensin	5	positif
Aduhhh gimana mau pakai... Tolong aplikasinya diperbaiki dlu baru dijalankan.... Ckckckkckc	2	negatif
Agak ribet daftar nyah	2	negatif
Agak susah terlebih bagi generasi lama, tapi walau lama petunjuk bisa diikuti	4	positif
Agar lebih dimaximalkan lagi aplikasinya, sehingga membantu mempermudah pengguna aplikasi	4	positif
Akan lebih baik jika bisa topup langsung ke Indomart dsb.	2	negatif
Akhirnya bisa di pakai	4	positif
Aku coba kok ga bisaÂ² ya?	1	negatif
Alhamdulilah cepet	4	positif
Alhamdulillaah nggak ribet daptar mudah	5	positif
Alhamdulillah	4	positif
Alhamdulillah	4	positif
Alhamdulillah semoga bermanfaat	5	positif
Alhamdulillah, semoga semakin berkah	5	positif
Alhamdulillah...baru daftar lancar, tinggal isi saldo linkaja....	4	positif
Amat brt manfaat aplikasi ini bagi saya.	5	positif
Ambique use the app. Wish area signaless but have to show HP...	4	positif
Ampun deh...errorr	1	negatif
anggap saja ini bintang 0	1	negatif
Antrian makin panjang.ribet pokonya	1	negatif
Apaan sih apk ribet	1	negatif
apakah iya ini di perlukan ???	2	negatif
apakah saya sudah bisa mendapatkan vespa nya	5	positif
Apalikasi simpel sangat mudah di gunakan, good joob pertamina, telah menghadirkan fitur yang sangat berguna sekali buat para pengendara, semoga kedepannya aplikasi ini lebih ditingakatkan lagi supaya setiap orang bisa menggunakannya dengan mudah	5	positif
Apik	4	positif
Apk apaan ini nyusahin masyarakat ribet	1	negatif
Apk bagus ,, tapi keluhan saya kemarenny beli pertalite menggunakan barcode ,pihak spu sudah men scane barcod saya ,tapi knapa nota pembelian tidak masuk dlm info transaksi..	4	positif
Apk cacat, gajelas, najis, kalo belum sempurna jangan dibikin apk dulu. Udah verifikasi lewat SMS gaada yg masuk sama sekali, mana kalau keluar dari apk harus ngulang ngisi dari awal lagi, malah makin ribet, harusnya kasih tutorial cara pendaftaran dll biar kaga ngeribetin begini! Ga di ujicoba dulu gitu sebelumya?Jelek bgt asli, apk belum sempurna dah di Up aja.	1	negatif
Apk cukup bagus	4	positif
Apk ga bagus sama sekali dah 7x daftar ga pernah sukses	2	negatif
Apk ga guna	1	negatif
Apk ga guna	1	negatif
Apk ga guna	1	negatif
Apk ga guna gblk nyusahin hidup orang anjðŸ§ðŸ¤¨	1	negatif
Apk ga guna nyusahin rakyat.	1	negatif
apk gajelas memperibet rakyat kecil	1	negatif
Apk gak guna	1	negatif
Apk gk jelas gw satirin masuk ugd lu	1	negatif
Apk jarang promo	2	negatif
APK MEMPERSULIT HIDUP	1	negatif
apk menyusahkan masyarakat	1	negatif
Apk menyusahkan masyarakat semoga kedepan ny kebijakan ini di cabut oleh pemerintah	1	negatif
Apk mudah dipergunakan	5	positif
apk nya bagusðŸ—¿	5	positif
Apk nya sangat membantu saya,terimakasih my pertaminaðŸ˜Š	5	positif
Apk penambah beban	1	negatif
Apk yang menyengsarakan MASYARAKAT +62	1	negatif
Apk yg mempermudahkan kita membeli bensin	5	positif
Apkikasi nya bgus bsa mmbantu ,mudah d fhami,mski msih da kkurangan,.semangatt buat PERTAMINA	4	positif
Apknya payah susah login	2	negatif
Apl jelek bikin malu di pom bensin.	1	negatif
Aplikasi abal abal	1	negatif
Aplikasi aneh minta otp dr email pindah halaman aja langsung balik lagi ke login bener bener mempersulit, itu aja baru daftar ga bisa bisa masuk terus login aja baru masuk masih harus isi otp lagi dan malah balik ke halaman awal payahh ga bisa mempermudah pengguna atau masyarakat yg gaptek harus ini itu di siapin kalo emang belum Mateng aplikasinya ga usah lah di publish dulu apalagi sdmnya. Kalo emang mikirnya cuan doang ya gini suruh masyarakat download aplikasi ga maksimal bekerja 100%	1	negatif
Aplikasi aneh, salah ketik email. .con email bisa masuk, alhasil tidak bisa menerima barcode, it nya tolong d perbaiki, untuk menerima code kalo tidak bisa email kasih solusi pakai nomer hp terdaftar, apk kok ribet sekali	1	negatif
aplikasi anjing bangsat	1	negatif
Aplikasi bagus tapi sebentar2 minta di update..	4	positif
Aplikasi bejad bin laknat.. Menyengsarakan rakyat & umat	1	negatif
Aplikasi belum matang dan terlalu dipaksakan untuk terbit. Metode pembayaran kurang variatif, kirain seperti dompet digital. Tak taunya harus instal dompet digital lain. Terlalu banyak aplikasi yang diinstal sedangkan spek HP stagnan.	1	negatif
Aplikasi belum siap sudah di gembar gembor suruh download 1. Tiap masuk harus login ulang ,bikin lama bakal sepanjang apa antrian ny ,skarang saja sudah mengular 2. Buka lokasi charging station malah error' the geolocation servise failed ,padahal tdk ada masalah di maps ,hp dan sinyal 3. Katanya agar tepat sasaran ,nyata rakyat kecil banyak yg gx punya android ,dan gx faham cara pakai nya,bukan mempermudah malah mempersulit	1	negatif
Aplikasi belum siap, memalukan untuk sekelas pertamina !!	2	negatif
